param n :=20; # n items; 

param W := 100; # capacity of your car

param W2 := 50; #capacity of friend's car

param S := 10; # price of sushi dinner 

param w := 1    13
     2    19
     3    16
     4    16
     5    20
     6    13
     7    18
     8    18
     9    14
    10    16
    11    10
    12    10
    13    15
    14    18
    15    20
    16    11
    17    16
    18    15
    19    10
    20    13;
    
  param v :=   
     1     1
     2     4
     3     2
     4     3
     5     1
     6     4
     7     2
     8     4
     9     4
    10     4
    11     3
    12     1
    13     2
    14     5
    15     1
    16     5
    17     3
    18     5
    19     1
    20     3;
    
    

